Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,151.2891080017366,153.14710838701015,150.86034091881393,153.04229736328125,22622100,0.0,0.0
2020-01-03 00:00:00-05:00,150.85079221664952,152.40388225400224,150.60304918156822,151.13662719726562,21116200,0.0,0.0
2020-01-06 00:00:00-05:00,149.66929777937992,151.59400249956286,149.12618220164597,151.5272979736328,20813700,0.0,0.0
2020-01-07 00:00:00-05:00,151.8036526962878,152.1371317710887,149.89800813543405,150.14573669433594,21634100,0.0,0.0
2020-01-08 00:00:00-05:00,151.43201531179338,153.21380259511494,150.4982536880769,152.53729248046875,27746500,0.0,0.0
2020-01-09 00:00:00-05:00,154.20474183695646,154.56681892653168,153.4329581787887,154.4429473876953,21385000,0.0,0.0
2020-01-10 00:00:00-05:00,155.13853526304973,155.51965837091927,153.57589271960666,153.7283477783203,20725900,0.0,0.0
2020-01-13 00:00:00-05:00,154.12856423207592,155.60544203274048,153.65215297630783,155.5768585205078,21626500,0.0,0.0
2020-01-14 00:00:00-05:00,155.68161454893516,155.88171360275174,154.09040326179172,154.48106384277344,23477400,0.0,0.0
2020-01-15 00:00:00-05:00,154.9479739066937,156.2057064523275,154.90034441786614,155.48155212402344,21417900,0.0,0.0
2020-01-16 00:00:00-05:00,156.59631569910385,158.39714886065596,156.2914056528102,158.3304443359375,23865400,0.0,0.0
2020-01-17 00:00:00-05:00,159.52149406039632,159.56913807909913,157.62537261176516,159.2165985107422,34371700,0.0,0.0
2020-01-21 00:00:00-05:00,158.81639847951428,160.25516931694727,158.57819292777114,158.6448974609375,29517200,0.0,0.0
2020-01-22 00:00:00-05:00,159.5024241627532,159.5881892069386,157.86356888038867,157.88262939453125,24138800,0.0,0.0
2020-01-23 00:00:00-05:00,158.34951287805555,158.93073496172778,157.47291825887828,158.85450744628906,19680800,0.0,0.0
2020-01-24 00:00:00-05:00,159.60722542232784,159.62628593530488,156.69159211003426,157.25375366210938,24918100,0.0,0.0
2020-01-27 00:00:00-05:00,153.5472991294745,155.67210320610195,152.64212090354462,154.62399291992188,32078100,0.0,0.0
2020-01-28 00:00:00-05:00,156.05322749452574,157.93981148531094,155.37673183642173,157.6539764404297,24899900,0.0,0.0
2020-01-29 00:00:00-05:00,159.9216973517553,160.78876916667522,157.8731351453459,160.1122589111328,34754500,0.0,0.0
